"attack_id","name","is_subtechnique","kill_chain_phases","platforms","data_sources","stix_id","ontology_completeness"
"T1044","File System Permissions Weakness","false","persistence|privilege-escalation","Windows|Linux|macOS","","attack-pattern--0ca7beef-9bbc-4e35-97cf-437384ddce6a","stix_bundle_loaded"
"T1588.007","Artificial Intelligence","true","resource-development","PRE","","attack-pattern--0cc222f5-c3ff-48e6-9f52-3314baf9d37e","stix_bundle_loaded"
"T1666","Modify Cloud Resource Hierarchy","false","defense-impairment","IaaS","","attack-pattern--0ce73446-8722-4086-9d43-514f1d0f669e","stix_bundle_loaded"
"T1564.008","Email Hiding Rules","true","stealth","Windows|Linux|macOS|Office Suite","","attack-pattern--0cf55441-b176-4332-89e7-2c4c7799d0ff","stix_bundle_loaded"
"T1491.002","External Defacement","true","impact","Windows|IaaS|Linux|macOS","","attack-pattern--0cfe31a7-81fc-472c-bc45-e2808d1066a3","stix_bundle_loaded"
"T1027.013","Encrypted/Encoded File","true","stealth","Linux|macOS|Windows","","attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144","stix_bundle_loaded"
"T1171","LLMNR/NBT-NS Poisoning and Relay","false","credential-access","Windows","","attack-pattern--0dbf5f1b-a560-4d51-ac1b-d70caab3e1f0","stix_bundle_loaded"
"T1590.005","IP Addresses","true","reconnaissance","PRE","","attack-pattern--0dda99f0-4701-48ca-9774-8504922e92d3","stix_bundle_loaded"
"T1499.001","OS Exhaustion Flood","true","impact","Linux|macOS|Windows","","attack-pattern--0df05477-c572-4ed6-88a9-47c581f548f7","stix_bundle_loaded"
"T1014","Rootkit","false","stealth","Linux|macOS|Windows","","attack-pattern--0f20e3cb-245b-4a61-8a91-2d93f7cb0e9b","stix_bundle_loaded"
"T1546.013","PowerShell Profile","true","privilege-escalation|persistence","Windows","","attack-pattern--0f2c410d-d740-4ed9-abb1-b8f4a7faf6c3","stix_bundle_loaded"
"T1059.007","JavaScript","true","execution","Linux|macOS|Windows","","attack-pattern--0f4a0c76-ab2d-4cb0-85d3-3f0efb8cba0d","stix_bundle_loaded"
"T1685.003","Modify or Spoof Tool UI","true","defense-impairment","Linux|macOS|Windows","","attack-pattern--0ff4bd68-aebb-4039-9e00-9f92c705edf4","stix_bundle_loaded"
"T1590.002","DNS","true","reconnaissance","PRE","","attack-pattern--0ff59227-8aa8-4c09-bf1f-925605bd07ea","stix_bundle_loaded"
"T1501","Systemd Service","false","persistence","Linux","","attack-pattern--0fff2797-19cb-41ea-a5f1-8a9303b8158e","stix_bundle_loaded"
"T1485.001","Lifecycle-Triggered Deletion","true","impact","IaaS","","attack-pattern--1001e0d6-ee09-4dfc-aa90-e9320ffc8fe4","stix_bundle_loaded"
"T1514","Elevated Execution with Prompt","false","privilege-escalation","macOS","","attack-pattern--101c3a64-9ba5-46c9-b573-5c501053cbca","stix_bundle_loaded"
"T1123","Audio Capture","false","collection","Linux|macOS|Windows","","attack-pattern--1035cdf2-3e5f-446f-a7a7-e8f6d7925967","stix_bundle_loaded"
"T1543","Create or Modify System Process","false","persistence|privilege-escalation","Containers|Linux|macOS|Windows","","attack-pattern--106c0cf6-bf73-4601-9aa8-0945c2715ec5","stix_bundle_loaded"
"T1133","External Remote Services","false","persistence|initial-access","Containers|Linux|macOS|Windows","","attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d","stix_bundle_loaded"
"T1109","Component Firmware","false","stealth|persistence","Windows","","attack-pattern--10d5f3b7-6be6-4da5-9a77-0f1e2bbfcc44","stix_bundle_loaded"
"T1546.006","LC_LOAD_DYLIB Addition","true","privilege-escalation|persistence","macOS","","attack-pattern--10ff21b9-5a01-4268-a1b5-3b55015f1847","stix_bundle_loaded"
"T1539","Steal Web Session Cookie","false","credential-access","Linux|macOS|Office Suite|SaaS|Windows","","attack-pattern--10ffac09-e42d-4f56-ab20-db94c67d76ff","stix_bundle_loaded"
"T1053.007","Container Orchestration Job","true","execution|persistence|privilege-escalation","Containers","","attack-pattern--1126cab1-c700-412f-a510-61f4937bb096","stix_bundle_loaded"
"T1568.002","Domain Generation Algorithms","true","command-and-control","ESXi|Linux|macOS|Windows","","attack-pattern--118f61a5-eb3e-4fb6-931f-2096647f4ecd","stix_bundle_loaded"
"T1036.007","Double File Extension","true","stealth","Windows","","attack-pattern--11f29a39-0942-4d62-92b6-fe236cf3066e","stix_bundle_loaded"
"T1548.002","Bypass User Account Control","true","privilege-escalation","Windows","","attack-pattern--120d5519-3098-4e1c-9191-2aa61232f073","stix_bundle_loaded"
"T1099","Timestomp","false","stealth","Linux|Windows|macOS","","attack-pattern--128c55d3-aeba-469f-bd3e-c8996ab4112a","stix_bundle_loaded"
"T1496.003","SMS Pumping","true","impact","SaaS","","attack-pattern--130d4494-b2d6-4040-bcea-6e59f05222fe","stix_bundle_loaded"
"T1016.001","Internet Connection Discovery","true","discovery","Windows|Linux|macOS|ESXi","","attack-pattern--132d5b37-aac5-4378-a8dc-3127b18a73dc","stix_bundle_loaded"
"T1548.003","Sudo and Sudo Caching","true","privilege-escalation","Linux|macOS","","attack-pattern--1365fe3b-0f50-455d-b4da-266ce31c23b0","stix_bundle_loaded"
"T1685.001","Disable or Modify Windows Event Log","true","defense-impairment","Windows","","attack-pattern--1411e6b8-80a6-4465-9909-54eaa9c67ce0","stix_bundle_loaded"
"T1682","Query Public AI Services","false","reconnaissance","PRE","","attack-pattern--143122a8-fcda-4dd7-aded-5b9387d9c2d6","stix_bundle_loaded"
"T1560.003","Archive via Custom Method","true","collection","Linux|macOS|Windows","","attack-pattern--143c0cbb-a297-4142-9624-87ffc778980b","stix_bundle_loaded"
"T1578","Modify Cloud Compute Infrastructure","false","defense-impairment","IaaS","","attack-pattern--144e007b-e638-431d-a894-45d90c54ab90","stix_bundle_loaded"
"T1584.008","Network Devices","true","resource-development","PRE","","attack-pattern--149b477f-f364-4824-b1b5-aa1d56115869","stix_bundle_loaded"
"T1583.008","Malvertising","true","resource-development","PRE","","attack-pattern--155207c0-7f53-4f13-a06b-0a9907ef5096","stix_bundle_loaded"
"T1069","Permission Groups Discovery","false","discovery","Containers|IaaS|Identity Provider|Linux|macOS|Office Suite|SaaS|Windows","","attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce","stix_bundle_loaded"
"T1114","Email Collection","false","collection","Windows|macOS|Linux|Office Suite","","attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f","stix_bundle_loaded"
"T1003.002","Security Account Manager","true","credential-access","Windows","","attack-pattern--1644e709-12d2-41e5-a60f-3470991f5011","stix_bundle_loaded"
"T1596.002","WHOIS","true","reconnaissance","PRE","","attack-pattern--166de1c6-2814-4fe5-8438-4e80f76b169f","stix_bundle_loaded"
"T1542.001","System Firmware","true","stealth|persistence","Network Devices|Windows","","attack-pattern--16ab6452-c3c1-497c-a47d-206018ca1ada","stix_bundle_loaded"
"T1594","Search Victim-Owned Websites","false","reconnaissance","PRE","","attack-pattern--16cdd21f-da65-4e4f-bc04-dd7d198c7b26","stix_bundle_loaded"
"T1069.003","Cloud Groups","true","discovery","SaaS|IaaS|Office Suite|Identity Provider","","attack-pattern--16e94db9-b5b1-4cd0-b851-f38fbd0a70f2","stix_bundle_loaded"
"T1574.011","Services Registry Permissions Weakness","true","stealth|execution","Windows","","attack-pattern--17cc750b-e95b-4d7d-9dde-49e0de24148c","stix_bundle_loaded"
"T1596.001","DNS/Passive DNS","true","reconnaissance","PRE","","attack-pattern--17fd695c-b88c-455a-a3d1-43b6cb728532","stix_bundle_loaded"
"T1499.003","Application Exhaustion Flood","true","impact","Windows|IaaS|Linux|macOS","","attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9","stix_bundle_loaded"
"T1163","Rc.common","false","persistence","macOS","","attack-pattern--18d4ab39-12ed-4a16-9fdb-ae311bba4a0f","stix_bundle_loaded"
"T1195.001","Compromise Software Dependencies and Development Tools","true","initial-access","Linux|macOS|Windows","","attack-pattern--191cc6af-1bb2-4344-ab5f-28e496638720","stix_bundle_loaded"
"T1588.004","Digital Certificates","true","resource-development","PRE","","attack-pattern--19401639-28d0-4c3c-adcc-bc2ba22f6421","stix_bundle_loaded"
"T1583.002","DNS Server","true","resource-development","PRE","","attack-pattern--197ef1b9-e764-46c3-b96c-23f77985dc81","stix_bundle_loaded"
"T1561","Disk Wipe","false","impact","Linux|macOS|Windows|Network Devices","","attack-pattern--1988cc35-ced8-4dad-b2d1-7628488fa967","stix_bundle_loaded"
"T1071.004","DNS","true","command-and-control","ESXi|Linux|macOS|Network Devices|Windows","","attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72","stix_bundle_loaded"
"T1552.005","Cloud Instance Metadata API","true","credential-access","IaaS","","attack-pattern--19bf235b-8620-4997-b5b4-94e0659ed7c3","stix_bundle_loaded"
"T1555.002","Securityd Memory","true","credential-access","Linux|macOS","","attack-pattern--1a80d097-54df-41d8-9d33-34e755ec5e72","stix_bundle_loaded"
"T1615","Group Policy Discovery","false","discovery","Windows","","attack-pattern--1b20efbf-8063-4fc3-a07d-b575318a301b","stix_bundle_loaded"
"T1542.003","Bootkit","true","stealth|persistence","Linux|Windows","","attack-pattern--1b7b1806-7746-41a1-a35d-e48dae25ddba","stix_bundle_loaded"
"T1025","Data from Removable Media","false","collection","Linux|macOS|Windows","","attack-pattern--1b7ba276-eedc-4951-a762-0ceea2c030ec","stix_bundle_loaded"
"T1116","Code Signing","false","stealth","macOS|Windows","","attack-pattern--1b84d551-6de8-4b96-9930-d177677c3b1d","stix_bundle_loaded"
"T1218.013","Mavinject","true","stealth","Windows","","attack-pattern--1bae753e-8e52-4055-a66d-2ead90303ca9","stix_bundle_loaded"
"T1522","Cloud Instance Metadata API","false","credential-access","IaaS","","attack-pattern--1c2fd73a-e634-44ed-b1b5-9e7cf7404e9f","stix_bundle_loaded"
"T1093","Process Hollowing","false","stealth","Windows","","attack-pattern--1c338d0f-a65e-4073-a5c1-c06878849f21","stix_bundle_loaded"
"T1074.001","Local Data Staging","true","collection","ESXi|Linux|macOS|Windows","","attack-pattern--1c34f7aa-9341-4a48-bfab-af22e51aca6c","stix_bundle_loaded"
