"source_attack_id","relationship_type","target_attack_id"
"T1036.008","subtechnique-of","T1036"
"G0106","uses","T1190"
"S9022","uses","T1555"
"S1029","uses","T1074.001"
"S0358","uses","T1137.005"
"S0238","uses","T1005"
"S0590","uses","T1033"
"G0125","uses","S1011"
"G0016","uses","S0002"
"G1042","uses","T1568"
"S0013","uses","T1112"
"S0268","uses","T1106"
"S0229","uses","T1059.003"
"S0598","uses","T1140"
"G0094","uses","T1583"
"S0367","uses","T1570"
"M1042","mitigates","T1210"
"G1031","uses","T1566.001"
"G1015","uses","T1598"
"G0060","uses","T1007"
"G0139","uses","T1036.005"
"G0007","uses","T1591"
"M1041","mitigates","T1552"
"G1012","uses","T1566.003"
"G1051","uses","T1543.003"
"G1051","uses","T1489"
"S0622","uses","T1059.007"
"S0475","uses","T1059.003"
"S1065","uses","T1083"
"G0124","uses","T1082"
"G0045","uses","T1036"
"S0417","uses","T1113"
"S0532","uses","T1016"
"S9018","uses","T1055.004"
"G0098","uses","T1588.003"
"S0481","uses","T1490"
"S0331","uses","T1115"
"G0108","uses","T1059.001"
"S1012","uses","T1056.001"
"S1063","uses","T1055.002"
"S0341","uses","T1071.001"
"S0198","uses","T1547.001"
"S1189","uses","T1572"
"S9009","uses","T1213.002"
"S0272","uses","T1033"
"M1018","mitigates","T1543"
"S1141","uses","T1001.002"
"S0446","uses","T1027"
"S0331","uses","T1566.001"
"S0356","uses","T1140"
"G1039","uses","T1027"
"S1033","uses","T1036.004"
"S0390","uses","T1070.004"
"S0458","uses","T1559.002"
"G1055","uses","T1110.001"
"G1053","uses","S0057"
"S0469","uses","T1518.001"
"G1048","uses","T1059.012"
"S1022","uses","T1016"
"S0154","uses","T1059.007"
"S0254","uses","T1082"
"S0596","uses","T1112"
"S0578","uses","T1071.001"
"S1224","uses","T1059.004"
"S0044","uses","T1113"
"S0586","uses","T1018"
"G0087","uses","T1090.002"
"G0085","uses","T1078"
"G0045","uses","T1070.004"
"G0050","uses","T1550.002"
"G1022","uses","T1686"
"S1179","uses","T1480"
"G0134","uses","S0334"
"G0010","uses","T1140"
"S0409","uses","T1140"
"M1018","mitigates","T1040"
"S0045","uses","T1546.015"
"S1149","uses","T1074.001"
"S0687","uses","T1573.002"
"T1055.013","subtechnique-of","T1055"
"S0013","uses","T1083"
"S0657","uses","T1016"
"S0457","uses","T1112"
"S0385","uses","T1555.003"
"S0504","uses","T1095"
"G0143","uses","T1059.004"
"S0260","uses","T1025"
"G1023","uses","T1136.001"
"G0049","uses","S0495"
"S1139","uses","T1570"
"G0059","uses","T1589.001"
"S0153","uses","T1547.009"
"S0660","uses","T1125"
"S0381","uses","T1059.003"
"M1054","mitigates","T1688"
"S1129","uses","T1083"
"G0125","uses","T1583.006"
"G1014","uses","T1030"
"G1015","uses","T1685"
"S0438","uses","T1560.003"
"G0080","uses","T1105"
"G0069","uses","T1137.001"
"S0415","uses","T1140"
"M1041","mitigates","T1557.002"
"S0681","uses","T1055"
"S0143","uses","T1123"
"G1052","uses","T1555.001"
"S0363","uses","T1016"
"S9020","uses","T1057"
"G0078","uses","T1055.012"
"S0084","uses","T1106"
"S0251","uses","T1124"
"S1081","uses","T1059.001"
"G1018","uses","T1547.001"
"S0455","uses","T1059.007"
"S0168","uses","T1547.004"
"S0695","uses","T1070"
"S1027","uses","T1070.004"
"S1180","uses","T1486"
"S0459","uses","T1036.005"
"S9014","uses","T1554"
"S1202","uses","T1140"
"S0331","uses","T1113"
"S0433","uses","T1027.013"
"G0046","uses","T1553.002"
"S0354","uses","T1497.001"
"S0203","uses","T1012"
"S0257","uses","T1016"
"S0253","uses","T1680"
"S0455","uses","T1518"
"G0094","uses","S1196"
"S1213","uses","T1195"
"G0069","uses","T1574.001"
"S0255","uses","T1105"
"S0476","uses","T1112"
"G0121","uses","T1203"
"S1119","uses","T1071.001"
"S1019","uses","T1041"
"S0180","uses","T1083"
"S0386","uses","T1547.001"
"S0575","uses","T1135"
"G0094","uses","T1021.001"
"S1228","uses","T1518.001"
"S1030","uses","T1059.005"
"S0009","uses","T1566"
"G0046","uses","S0417"
"S0666","uses","T1568"
"M1028","mitigates","T1574.006"
"S0678","uses","T1106"
"S0250","uses","T1059.005"
"S9034","uses","T1567.002"
"S0093","uses","T1547.001"
"T1569.003","subtechnique-of","T1569"
"G0134","uses","T1608.004"
"G1054","uses","S0039"
"G0126","uses","T1059.005"
"S0596","uses","T1124"
"S0547","uses","T1059.006"
"S0194","uses","T1574.007"
"S0559","uses","T1047"
"M1046","mitigates","T1195"
"S0663","uses","T1573.001"
"S1149","uses","T1480"
"G0087","uses","T1140"
"G0060","uses","T1070.004"
"S1111","uses","T1569.002"
"S9031","uses","T1083"
"S0502","uses","T1005"
"G0035","uses","T1113"
"S0282","uses","T1070.004"
"S1234","uses","T1082"
"S0582","uses","T1489"
"S1141","uses","T1059.003"
"G1032","uses","T1021.001"
"S0669","uses","T1204.002"
"G0139","uses","T1222.002"
"S1014","uses","T1053.005"
"G1012","uses","T1505.003"
"G1054","uses","T1057"
"S0201","uses","T1685"
"S0011","uses","T1124"
"S0681","uses","T1059.003"
"G0013","uses","S0028"
"S0394","uses","T1136.001"
"M1038","mitigates","T1553.003"
"M1033","mitigates","T1176.001"
"S0402","uses","T1564"
"S0585","uses","T1059.005"
"G0046","uses","T1078"
"S1219","uses","T1573.002"
"S0461","uses","T1070"
"M1024","mitigates","T1547.003"
"G1054","uses","S0154"
"T1547.006","subtechnique-of","T1547"
"G0010","uses","S0029"
"G0007","uses","T1564.001"
"S0076","uses","T1095"
"M1038","mitigates","T1059.010"
"S0279","uses","T1056.002"
"S0045","uses","T1082"
