setup,dataset,method,seed,pred_path,metrics_path,f1,precision,recall,n_sentences,gen_time_s,total_time_s,wall_time_s,sharded,num_shards
e5_phi35,TRAM2,RAG+FSP,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_FSP_seed1_setup5_e5_phi35_seed1_20260527_004547.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_FSP_seed1_setup5_e5_phi35_seed1_20260527_004547.json,0.5147948196393342,0.4886116475510344,0.5812087943681872,3820,7858.6918313503265,8405.940700769424,,False,1
e5_phi35,TRAM2,RAG+FSP,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_FSP_seed2_setup5_e5_phi35_seed2_20260527_055558.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_FSP_seed2_setup5_e5_phi35_seed2_20260527_055558.json,0.5147948196393342,0.4886116475510344,0.5812087943681872,3820,8126.379999999987,,2256.2484922409058,True,4
gteqwen_llama,AnnoCTR,RAG,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed0_setup1_gteqwen_llama_seed0_20260527_085414.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed0_setup1_gteqwen_llama_seed0_20260527_085414.json,0.42461369859093806,0.4147920182672505,0.5413129118043979,1483,1386.645681142807,1577.4265711307526,,False,1
gteqwen_llama,AnnoCTR,RAG,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed1_setup1_gteqwen_llama_seeds12_20260528_084044_s1.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed1_setup1_gteqwen_llama_seeds12_20260528_084044_s1.json,0.42461369859093806,0.4147920182672505,0.5413129118043979,1483,1417.1705389022827,1605.4578084945679,,False,1
gteqwen_llama,AnnoCTR,RAG,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed2_setup1_gteqwen_llama_seeds12_20260528_084044_s2.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed2_setup1_gteqwen_llama_seeds12_20260528_084044_s2.json,0.42461369859093806,0.4147920182672505,0.5413129118043979,1483,1356.0811183452606,1539.2188651561737,,False,1
gteqwen_llama,AnnoCTR,RAG+FSP,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG+FSP_seed0_setup1_gteqwen_llama_seed0_20260527_085414.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG+FSP_seed0_setup1_gteqwen_llama_seed0_20260527_085414.json,0.37288371098489853,0.5020998105124402,0.3705265236998983,1483,1245.32497048378,1437.506802558899,,False,1
gteqwen_llama,AnnoCTR,RAG+FSP,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG+FSP_seed1_setup1_gteqwen_llama_seeds12_20260528_084044_s1.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG+FSP_seed1_setup1_gteqwen_llama_seeds12_20260528_084044_s1.json,0.37288371098489853,0.5020998105124402,0.3705265236998983,1483,1258.7209947109222,1444.7951776981354,,False,1
gteqwen_llama,AnnoCTR,RAG+FSP,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG+FSP_seed2_setup1_gteqwen_llama_seeds12_20260528_084044_s2.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG+FSP_seed2_setup1_gteqwen_llama_seeds12_20260528_084044_s2.json,0.37288371098489853,0.5020998105124402,0.3705265236998983,1483,1283.2280316352844,1470.8171491622925,,False,1
gteqwen_llama,TRAM2,RAG,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_seed0_setup1_gteqwen_llama_seed0_20260527_085414.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_seed0_setup1_gteqwen_llama_seed0_20260527_085414.json,0.535222753001099,0.4112184856587224,0.8927167377214815,3820,4440.697823524475,4901.620838165283,,False,1
gteqwen_llama,TRAM2,RAG,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_seed1_setup1_gteqwen_llama_seeds12_20260528_084044_s1.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_seed1_setup1_gteqwen_llama_seeds12_20260528_084044_s1.json,0.535222753001099,0.4112184856587224,0.8927167377214815,3820,4419.788138389587,4882.475227832794,,False,1
